dataset,center_quantile,pred_gain_x1e3,realized_gain_x1e3,sem_x1e3,n_pairs
KITTI,0.150,3.4198,2.8767,0.3734,5595
KITTI,0.200,3.7598,2.5911,0.3554,5595
KITTI,0.250,4.0282,2.4805,0.3268,5595
KITTI,0.300,4.2634,2.6041,0.3352,5595
KITTI,0.350,4.4784,2.9850,0.3470,5595
KITTI,0.400,4.6759,3.1643,0.3520,5596
KITTI,0.450,4.8574,3.4664,0.3686,5595
KITTI,0.500,5.0240,3.7020,0.3756,5596
KITTI,0.550,5.2028,4.0741,0.3995,5595
KITTI,0.600,5.4062,4.1342,0.3920,5596
KITTI,0.650,5.6356,4.1384,0.4022,5595
KITTI,0.700,5.8823,4.5072,0.4347,5595
KITTI,0.750,6.1754,4.3739,0.4201,5595
KITTI,0.800,6.5672,4.6534,0.4326,5595
KITTI,0.850,7.2319,5.0581,0.4567,5596
nuScenes,0.150,5.3783,5.9010,0.5532,7465
nuScenes,0.200,6.2158,6.1799,0.5656,7465
nuScenes,0.250,6.9290,7.3974,0.6267,7465
nuScenes,0.300,7.5594,7.3985,0.6240,7465
nuScenes,0.350,8.0917,7.4062,0.6287,7466
nuScenes,0.400,8.5647,7.3760,0.6181,7466
nuScenes,0.450,9.0123,7.9449,0.6317,7465
nuScenes,0.500,9.4777,8.3259,0.6495,7465
nuScenes,0.550,9.9818,8.0175,0.6298,7465
nuScenes,0.600,10.5088,8.6579,0.6591,7466
nuScenes,0.650,11.0914,9.0784,0.6700,7466
nuScenes,0.700,11.7550,9.2689,0.6741,7465
nuScenes,0.750,12.6924,9.6831,0.7054,7465
nuScenes,0.800,14.0504,10.5139,0.7504,7465
nuScenes,0.850,16.3301,12.6823,0.8514,7466
