vehicle,lon,lat,x_web_mercator,y_web_mercator,heading_deg,acc_FACE,acc_CachedDFL,acc_V2V,acc_LearningAware
0,127.031455,37.474354,14141076.9,4505433.5,-149.5,0.6427,0.5893,0.5209,0.5800
1,127.089946,37.511570,14147588.1,4510655.0,5.0,0.5534,0.5522,0.5568,0.5534
2,127.012584,37.537860,14138976.2,4514345.1,101.3,0.8434,0.5278,0.5940,0.5766
3,127.019217,37.516682,14139714.6,4511372.4,173.9,0.8411,0.4234,0.4234,0.4327
4,126.990247,37.534435,14136489.6,4513864.3,-38.7,0.8910,0.5209,0.3689,0.4675
5,127.029637,37.494162,14140874.5,4508212.3,30.4,0.8747,0.6752,0.6729,0.8631
6,126.972841,37.555367,14134552.0,4516803.1,-89.2,0.6056,0.6056,0.6056,0.6056
7,127.052818,37.505822,14143455.0,4509848.3,-149.5,0.5974,0.5974,0.5974,0.5974
8,127.036546,37.482137,14141643.6,4506525.2,129.3,0.3561,0.3561,0.3561,0.3561
9,127.144223,37.478468,14153630.2,4506010.6,-63.1,0.9072,0.6230,0.5522,0.9072
10,127.120945,37.468174,14151038.9,4504566.7,-151.2,0.6427,0.5499,0.5139,0.6427
11,127.136639,37.466680,14152785.9,4504357.1,55.0,0.5046,0.5046,0.3712,0.5046
12,127.125695,37.460291,14151567.6,4503461.1,-33.2,0.6589,0.6636,0.6647,0.6589
13,127.023776,37.506185,14140222.1,4509899.3,-69.6,0.9060,0.6508,0.6589,0.6462
14,127.131856,37.474990,14152253.5,4505522.7,-14.3,0.7645,0.7506,0.7506,0.7668
15,127.128700,37.470062,14151902.1,4504831.5,178.9,0.3794,0.4942,0.5104,0.3561
16,126.965988,37.527228,14133789.1,4512852.6,37.7,0.5661,0.5661,0.5661,0.5661
17,126.956808,37.514940,14132767.2,4511127.9,-118.9,0.3991,0.3944,0.3991,0.3991
18,127.031408,37.490111,14141071.7,4507643.9,9.3,0.8585,0.6995,0.4791,0.8759
19,127.024187,37.505197,14140267.8,4509760.6,110.4,0.8747,0.5742,0.5406,0.8944
20,127.027196,37.498861,14140602.8,4508871.6,128.9,0.3167,0.3167,0.3167,0.3167
21,127.037924,37.480586,14141797.0,4506307.7,108.7,0.7355,0.7355,0.7355,0.7355
22,127.034143,37.484496,14141376.1,4506856.2,125.1,0.8979,0.5313,0.5383,0.5394
23,126.996217,37.436002,14137154.2,4500055.3,-65.1,0.6682,0.6520,0.6717,0.6729
24,127.040858,37.467404,14142123.6,4504458.7,-55.1,0.8933,0.5499,0.5360,0.4896
25,127.020293,37.522978,14139834.3,4512256.1,32.9,0.8550,0.4420,0.4768,0.3561
26,127.044141,37.509424,14142489.1,4510353.8,-80.5,0.9084,0.6415,0.6415,0.6450
27,127.039493,37.524305,14141971.7,4512442.3,66.1,0.3167,0.3283,0.4292,0.4292
28,127.028797,37.527493,14140781.0,4512889.8,-149.1,0.6241,0.6241,0.6717,0.6241
29,127.050755,37.500719,14143225.4,4509132.3,-36.8,0.6624,0.6624,0.6671,0.6462
30,127.028510,37.495727,14140749.0,4508431.8,108.0,0.8585,0.5696,0.5499,0.3271
31,127.136136,37.480792,14152729.9,4506336.6,-141.2,0.3561,0.3561,0.3561,0.3561
32,127.085127,37.483522,14147051.6,4506719.5,10.0,0.6114,0.6206,0.6183,0.6311
33,127.031853,37.489117,14141121.2,4507504.5,108.2,0.7367,0.5742,0.5766,0.5429
34,127.048555,37.488052,14142980.4,4507355.0,-138.4,0.6984,0.6276,0.6276,0.6276
