vehicle,lon,lat,x_web_mercator,y_web_mercator,heading_deg,utility_FACE,utility_CachedDFL,utility_V2V,utility_LearningAware
0,127.031455,37.474354,14141076.9,4505433.5,-149.5,0.9462,0.9343,0.8462,0.7928
1,127.089946,37.511570,14147588.1,4510655.0,5.0,0.4003,0.2486,0.2165,0.2165
2,127.012584,37.537860,14138976.2,4514345.1,101.3,0.7098,0.4857,0.6422,0.8694
3,127.019217,37.516682,14139714.6,4511372.4,173.9,0.7623,0.5369,0.3999,0.3842
4,126.990247,37.534435,14136489.6,4513864.3,-38.7,0.6403,0.3721,0.2298,0.2298
5,127.029637,37.494162,14140874.5,4508212.3,30.4,0.7115,0.5807,0.4717,0.5272
6,126.972841,37.555367,14134552.0,4516803.1,-89.2,0.1826,0.1826,0.1826,0.1826
7,127.052818,37.505822,14143455.0,4509848.3,-149.5,0.6512,0.6512,0.6512,0.6512
8,127.036546,37.482137,14141643.6,4506525.2,129.3,0.9343,0.8255,0.7703,0.7703
9,127.144223,37.478468,14153630.2,4506010.6,-63.1,0.8003,0.7398,0.5791,0.5791
10,127.120945,37.468174,14151038.9,4504566.7,-151.2,0.9098,0.8255,0.7614,0.7614
11,127.136639,37.466680,14152785.9,4504357.1,55.0,0.8614,0.4538,0.4321,0.8154
12,127.125695,37.460291,14151567.6,4503461.1,-33.2,0.8872,0.6729,0.5195,0.6551
13,127.023776,37.506185,14140222.1,4509899.3,-69.6,0.9045,0.7115,0.6180,0.7392
14,127.131856,37.474990,14152253.5,4505522.7,-14.3,0.7021,0.5712,0.5611,0.5289
15,127.128700,37.470062,14151902.1,4504831.5,178.9,0.8845,0.7698,0.6174,0.6174
16,126.965988,37.527228,14133789.1,4512852.6,37.7,0.9150,0.6649,0.6116,0.8268
17,126.956808,37.514940,14132767.2,4511127.9,-118.9,0.8568,0.5985,0.5081,0.5081
18,127.031408,37.490111,14141071.7,4507643.9,9.3,0.9369,0.9191,0.9191,0.9191
19,127.024187,37.505197,14140267.8,4509760.6,110.4,0.9369,0.6227,0.6227,0.5989
20,127.027196,37.498861,14140602.8,4508871.6,128.9,0.8844,0.5926,0.5926,0.6697
21,127.037924,37.480586,14141797.0,4506307.7,108.7,0.7322,0.6926,0.4987,0.6716
22,127.034143,37.484496,14141376.1,4506856.2,125.1,0.9343,0.8816,0.7798,0.7798
23,126.996217,37.436002,14137154.2,4500055.3,-65.1,0.9343,0.3412,0.3541,0.3541
24,127.040858,37.467404,14142123.6,4504458.7,-55.1,0.8844,0.6148,0.6141,0.6141
25,127.020293,37.522978,14139834.3,4512256.1,32.9,0.9225,0.7131,0.6803,0.8394
26,127.044141,37.509424,14142489.1,4510353.8,-80.5,0.8392,0.7454,0.6804,0.6804
27,127.039493,37.524305,14141971.7,4512442.3,66.1,0.4499,0.3070,0.2008,0.2008
28,127.028797,37.527493,14140781.0,4512889.8,-149.1,0.6240,0.3483,0.2515,0.2515
29,127.050755,37.500719,14143225.4,4509132.3,-36.8,0.4707,0.4259,0.2771,0.2771
30,127.028510,37.495727,14140749.0,4508431.8,108.0,0.9462,0.8386,0.7839,0.7839
31,127.136136,37.480792,14152729.9,4506336.6,-141.2,0.5018,0.5018,0.4005,0.4005
32,127.085127,37.483522,14147051.6,4506719.5,10.0,0.6586,0.4834,0.4242,0.4242
33,127.031853,37.489117,14141121.2,4507504.5,108.2,0.9350,0.4963,0.3250,0.3250
34,127.048555,37.488052,14142980.4,4507355.0,-138.4,0.7455,0.5098,0.4641,0.4641
35,127.082567,37.483264,14146766.6,4506683.3,-173.9,0.7302,0.5338,0.5186,0.5186
36,127.102395,37.486993,14148973.9,4507206.5,72.7,0.7144,0.4980,0.2566,0.4980
37,127.136333,37.480732,14152751.9,4506328.1,50.3,0.5712,0.5614,0.4263,0.4263
38,127.136069,37.480387,14152722.5,4506279.8,-13.8,0.5742,0.4760,0.3747,0.3747
39,127.062626,37.494301,14144546.8,4508231.8,72.7,0.7416,0.4981,0.4309,0.4309
40,127.047141,37.487020,14142823.0,4507210.3,33.7,0.9369,0.9191,0.8124,0.9191
41,127.037457,37.484923,14141745.0,4506916.1,26.9,0.7006,0.6887,0.6360,0.6887
42,127.023934,37.505632,14140239.7,4509821.7,-69.2,0.9369,0.6172,0.5681,0.7901
43,126.991136,37.544560,14136588.6,4515285.7,97.8,0.7464,0.7251,0.6719,0.6719
44,127.019755,37.515784,14139774.5,4511246.3,225.0,0.9369,0.9191,0.8926,0.8926
45,127.098245,37.465729,14148511.9,4504223.8,175.1,0.8845,0.7848,0.6907,0.8438
46,127.005283,37.506344,14138163.4,4509921.6,178.8,0.9225,0.7544,0.8897,0.8897
47,127.128991,37.469382,14151934.5,4504736.1,-91.5,0.8872,0.6204,0.5013,0.6631
48,127.127110,37.469578,14151725.2,4504763.6,172.9,0.9098,0.6430,0.7292,0.7292
49,127.039649,37.469188,14141989.0,4504708.9,119.2,0.9343,0.8255,0.7901,0.8368
50,127.026765,37.499339,14140554.8,4508938.6,129.8,0.9056,0.9056,0.9056,0.9056
51,127.127042,37.476217,14151717.6,4505694.8,138.9,0.5543,0.5442,0.5576,0.5442
52,126.960658,37.520768,14133195.8,4511945.9,-119.2,0.8449,0.8035,0.6175,0.6175
53,126.956576,37.514650,14132741.4,4511087.2,-120.5,0.8568,0.4552,0.3647,0.4864
54,127.063106,37.455588,14144600.3,4502801.6,88.8,0.8722,0.8722,0.8462,0.8368
55,127.021579,37.510164,14139977.5,4510457.7,-116.8,0.9352,0.9088,0.5933,0.8277
56,127.061961,37.508531,14144472.8,4510228.5,-164.4,0.4003,0.2261,0.1940,0.2165
57,127.061071,37.498561,14144373.7,4508829.5,-75.2,0.5596,0.5373,0.3910,0.3910
58,127.060089,37.514310,14144264.4,4511039.5,-34.5,0.8102,0.3804,0.5545,0.5545
59,127.014335,37.525934,14139171.1,4512671.0,125.3,0.9369,0.8363,0.8355,0.8355
60,127.064167,37.506441,14144718.4,4509935.2,-63.7,0.5652,0.4845,0.3621,0.3621
61,126.995516,37.503614,14137076.2,4509538.5,-105.7,0.9337,0.7107,0.6829,0.6867
62,127.144197,37.478601,14153627.3,4506029.2,-106.0,0.8003,0.5255,0.3648,0.5791
63,127.127847,37.475918,14151807.2,4505652.9,154.8,0.8211,0.7224,0.7224,0.7224
64,127.128671,37.469690,14151898.9,4504779.3,-1.1,0.8508,0.7698,0.5825,0.5825
65,126.990092,37.493227,14136472.4,4508081.1,-69.9,0.8745,0.7252,0.4835,0.4663
66,127.020610,37.512097,14139869.6,4510728.9,-54.5,0.8425,0.5264,0.5036,0.5036
67,127.008200,37.507184,14138488.2,4510039.5,-47.9,0.8594,0.7252,0.5252,0.5252
68,126.987997,37.534263,14136239.2,4513840.1,-175.9,0.6179,0.4499,0.3077,0.3077
69,127.033347,37.486045,14141287.5,4507073.5,110.8,0.7494,0.7099,0.5121,0.6741
70,127.141756,37.478254,14153355.5,4505980.5,-93.3,0.6573,0.6424,0.4119,0.4119
71,127.028329,37.496370,14140728.9,4508522.1,-36.2,0.9462,0.9057,0.6958,0.7726
72,127.021840,37.510075,14140006.5,4510445.2,110.2,0.9045,0.7497,0.6690,0.8017
73,126.988355,37.544965,14136279.0,4515342.6,323.0,0.7222,0.4027,0.2147,0.2147
74,127.000283,37.507470,14137606.8,4510079.6,116.4,0.6174,0.4864,0.4218,0.4218
75,127.007814,37.509265,14138445.2,4510331.5,-73.7,0.7556,0.5578,0.3880,0.3880
76,127.030374,37.528310,14140956.5,4513004.5,-148.4,0.6363,0.3606,0.3624,0.3429
77,127.070101,37.496332,14145378.9,4508516.7,-60.3,0.4398,0.5161,0.1963,0.1963
78,126.961780,37.540052,14133320.7,4514652.8,75.6,0.6785,0.4583,0.4366,0.4293
79,127.001927,37.524393,14137789.8,4512454.7,-108.2,0.6957,0.3486,0.4040,0.3946
80,126.978057,37.534755,14135132.6,4513909.2,-174.8,0.9039,0.4276,0.2676,0.2712
81,127.019452,37.516347,14139740.7,4511325.4,-56.9,0.9176,0.6499,0.6407,0.7553
82,126.993978,37.534207,14136905.0,4513832.3,95.0,0.7021,0.5387,0.5142,0.5142
83,127.003645,37.526295,14137981.1,4512721.6,50.4,0.8646,0.6774,0.2666,0.2666
84,127.031361,37.490115,14141066.4,4507644.5,279.2,0.9350,0.7278,0.5258,0.5301
85,127.065965,37.479303,14144918.5,4506127.7,-33.3,0.6806,0.6806,0.6806,0.5278
86,127.032503,37.487246,14141193.5,4507242.0,81.1,0.9251,0.6319,0.6319,0.6319
87,127.039669,37.468676,14141991.3,4504637.1,-54.6,0.8725,0.6941,0.6407,0.6941
88,127.031487,37.489823,14141080.4,4507603.5,39.9,0.8844,0.7170,0.7170,0.6643
89,126.965483,37.537650,14133732.9,4514315.6,-150.7,0.7001,0.3957,0.3844,0.3844
90,126.999101,37.535594,14137475.3,4514027.0,129.4,0.8969,0.8676,0.8349,0.8349
91,127.038475,37.472820,14141858.3,4505218.3,-88.6,0.9369,0.6401,0.5339,0.7567
92,127.027929,37.496712,14140684.4,4508570.0,-135.7,0.9369,0.7167,0.7167,0.5068
93,127.023641,37.506347,14140207.0,4509922.0,66.1,0.8844,0.6684,0.6684,0.6994
94,127.021219,37.511339,14139937.4,4510622.5,103.7,0.8830,0.7146,0.6900,0.7047
95,127.007526,37.549814,14138413.1,4516023.4,82.0,0.7418,0.7198,0.5387,0.6952
96,127.003851,37.541168,14138004.0,4514809.5,103.9,0.9369,0.4949,0.4606,0.6952
97,127.009494,37.553182,14138632.2,4516496.3,25.9,0.9088,0.8803,0.4700,0.7623
98,127.028415,37.492624,14140738.5,4507996.5,-159.7,0.9439,0.7155,0.6002,0.7010
99,127.015881,37.524336,14139343.2,4512446.7,124.2,0.9369,0.9191,0.5335,0.8099
100,127.066120,37.479373,14144935.8,4506137.5,-171.0,0.6813,0.5533,0.5533,0.6813
101,127.031280,37.489880,14141057.4,4507611.5,-44.6,0.9307,0.7364,0.6527,0.8116
102,127.065706,37.479256,14144889.7,4506121.1,88.8,0.5736,0.4751,0.4751,0.3987
103,127.065786,37.479182,14144898.6,4506110.7,-56.8,0.6813,0.4815,0.4815,0.4514
104,127.088889,37.462942,14147470.4,4503832.9,21.1,0.8628,0.5770,0.4100,0.4581
105,127.063711,37.508743,14144667.6,4510258.2,105.2,0.5596,0.5547,0.3904,0.3904
106,127.130873,37.468596,14152144.0,4504625.9,108.1,0.8872,0.6213,0.5051,0.6468
